Season,Player,Pos,Squad,Comp,Nation,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Second Yellow Card,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,npxG + xAG,PrgR,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Non-Penalty Goals - npxG,Pass Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Passes Blocked,Passes Offside,Passes Completed,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,% of Dribblers Tackled,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Clearences,Errors,Touches,Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Take-Ons Attempted,Successful Take-On %,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carries,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Best Role
2023-2024,Nadir Zortea,DF,Frosinone,it Serie A,it ITA,24,14,14,"1,258",14.0,0.07,0.36,0.43,0.07,0.43,0.0,0.0,0.21,0.0,0.0,0.03,0.03,0.2,0.16,0.16,0.24,05.07,0.71,0.29,40.0,0.1,0.25,22.3,0.0,0.04,0.04,40.9,30.9,9.86,0.5,0.0,1.79,0.07,29.9,73.1,480.4,192.0,16.2,18.9,86.0,10.1,13.5,74.6,2.64,5.29,50.0,1.5,1.71,1.93,1.29,3.0,0.0,5.29,1.21,0.0,0.93,0.07,2.93,2.21,0.36,0.14,0.14,0.0,0.07,0.5,0.43,0.0,0.07,0.0,0.0,0.0,1.5,1.0,0.57,0.93,0.0,1.57,45.5,0.93,0.36,0.57,0.29,02.07,0.07,51.7,11.4,21.1,19.5,1.5,2.71,44.7,47.4,24.1,134.1,2.21,61.6,1.29,0.36,2.14,01.07,28.4,05.07,01.07,1.0,0.0,0.0,0.0,0.0,3.79,0.79,1.5,34.4,Full-Back
2023-2024,Simon Zoller,"FW,MF",Bochum,de Bundesliga,de GER,32,1,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,16.0,12.0,4.0,0.0,0.0,2.0,0.0,10.0,62.5,194.0,0.0,4.0,6.0,66.7,4.0,4.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0,Inverted Winger
2023-2024,Luc Zogbé,DF,Brest,fr Ligue 1,ci CIV,18,1,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,70.0,60.0,10.0,0.0,0.0,0.0,0.0,50.0,71.4,570.0,120.0,40.0,40.0,100.0,10.0,10.0,100.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,100.0,80.0,20.0,0.0,0.0,10.0,0.0,100.0,60.0,320.0,0.0,180.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,
2023-2024,Joshua Zirkzee,FW,Bologna,it Serie A,nl NED,22,34,32,"2,759",30.7,0.36,0.13,0.49,0.29,0.42,0.07,0.07,0.26,0.0,0.0,0.29,0.24,0.17,0.08,-0.04,0.41,5.93,2.74,0.94,34.5,0.11,0.31,17.8,0.1,0.09,0.05,29.9,27.7,2.15,0.1,0.23,1.17,0.03,23.1,77.4,296.6,57.1,14.5,17.6,82.7,5.41,6.94,77.9,01.04,1.5,69.6,1.4,1.3,0.91,0.0,2.8,0.2,0.26,0.0,0.0,0.0,0.0,3.16,2.28,0.0,0.52,0.29,0.07,0.0,0.33,0.2,0.0,0.07,0.07,0.0,0.0,01.04,0.65,0.26,0.49,0.29,0.78,54.2,0.81,0.07,0.75,0.1,1.17,0.0,44.8,4.4,20.5,20.5,4.43,4.17,40.6,56.3,26.5,134.6,1.73,57.7,1.5,0.72,3.71,02.08,33.6,5.93,0.94,0.88,0.16,0.0,0.0,0.0,3.36,0.94,1.27,42.6,Deep Lying Forward
2023-2024,Oleksandr Zinchenko,DF,Arsenal,eng Premier League,ua UKR,26,27,20,"1,722",19.1,0.05,0.1,0.16,0.05,0.16,0.0,0.0,0.1,0.0,0.0,0.03,0.03,0.13,0.15,-0.03,0.16,03.04,0.89,0.16,17.6,0.06,0.33,24.0,0.0,0.03,0.02,82.1,73.0,8.64,2.41,0.58,0.73,0.42,71.9,87.6,1211.1,362.7,34.2,37.0,92.5,31.5,34.9,90.1,4.97,07.02,70.9,1.52,08.06,2.57,0.21,12.0,0.26,1.57,0.0,0.0,0.0,0.0,3.51,3.35,0.05,0.05,0.05,0.0,0.0,0.31,0.26,0.05,0.0,0.0,0.0,0.0,2.62,1.57,0.99,1.26,0.37,2.72,67.3,0.94,0.16,0.79,01.05,1.36,0.1,90.5,17.5,46.3,27.2,1.47,0.73,50.0,35.7,53.0,250.9,02.09,122.2,1.47,0.37,0.52,0.79,61.7,03.04,0.37,0.47,0.05,0.0,0.0,0.0,5.45,1.41,0.84,62.8,Complete Wing-Back
2023-2024,Christoph Zimmermann,DF,Darmstadt 98,de Bundesliga,de GER,30,19,12,"1,22",13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.02,0.02,0.01,0.02,-0.01,0.03,0.07,0.29,0.07,25.0,0.0,0.0,13.8,0.0,0.07,-0.02,40.8,39.1,1.54,1.18,0.0,0.44,0.15,33.5,82.0,663.5,244.0,11.7,13.2,88.8,17.4,19.6,88.7,4.34,6.99,62.1,0.22,2.43,0.15,0.0,2.5,0.51,0.0,0.0,0.0,0.0,0.0,0.66,0.59,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,1.54,1.91,0.51,0.0,2.87,48.7,1.54,01.03,0.51,1.54,4.85,0.07,53.5,30.2,22.0,1.84,0.66,0.22,66.7,33.3,25.1,133.5,0.51,69.0,0.29,0.0,0.51,0.15,29.6,0.07,0.96,0.74,0.07,0.0,0.0,0.07,3.9,2.13,1.54,58.0,Central Defender
2023-2024,David Zima,DF,Torino,it Serie A,cz CZE,22,5,0,91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,43.0,43.0,0.0,0.0,0.0,0.0,0.0,36.0,83.7,679.0,120.0,10.0,11.0,90.9,23.0,26.0,88.5,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,58.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0,22.0,102.0,1.0,59.0,0.0,0.0,1.0,1.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,28.6,Ball Playing Defender
2023-2024,Piotr Zieliński,MF,Napoli,it Serie A,pl POL,29,28,23,"1,924",21.4,0.14,0.09,0.23,0.09,0.19,0.05,0.05,0.05,0.0,0.0,0.12,0.08,0.16,0.15,-0.07,0.24,4.11,1.36,0.37,27.6,0.07,0.25,21.4,0.14,0.06,0.01,58.6,53.5,4.77,1.31,0.23,0.79,0.37,48.5,82.6,730.2,245.1,27.3,29.3,93.5,15.2,18.4,82.7,3.64,7.24,50.3,2.24,06.03,1.64,0.09,6.12,0.33,4.16,3.18,0.65,1.73,0.0,4.25,2.8,0.98,0.19,0.23,0.05,0.0,0.37,0.19,0.05,0.0,0.09,0.05,0.0,01.07,0.7,0.28,0.61,0.19,1.12,50.0,0.56,0.05,0.51,0.42,0.7,0.0,65.2,10.1,32.1,23.5,1.64,1.59,47.1,47.1,38.3,198.9,1.78,91.4,2.34,0.28,01.07,0.65,50.1,4.11,0.7,0.84,0.0,0.0,0.0,0.0,04.07,0.28,0.51,35.3,Goalkeeper
2023-2024,Edon Zhegrova,FW,Lille,fr Ligue 1,xk KVX,24,33,25,"2,288",25.4,0.24,0.24,0.47,0.24,0.47,0.0,0.0,0.12,0.0,0.04,0.24,0.24,0.24,0.31,-0.01,0.49,12.7,3.23,1.14,35.4,0.07,0.21,20.3,0.31,0.08,-0.01,41.1,35.6,5.39,0.94,0.04,1.3,0.04,30.1,73.3,474.8,133.5,16.1,18.6,86.3,11.7,15.5,75.1,1.65,4.53,36.5,1.81,1.69,02.09,0.51,3.54,0.12,6.85,3.35,1.34,1.18,0.0,4.84,2.48,0.79,0.98,0.39,0.2,0.0,0.59,0.35,0.04,0.2,0.0,0.0,0.0,1.26,0.71,0.35,0.59,0.31,1.42,38.9,0.67,0.04,0.63,0.31,0.31,0.0,54.6,4.33,18.2,33.1,4.53,6.85,51.7,43.7,39.9,307.9,4.33,150.6,03.07,2.13,2.17,1.97,38.8,12.7,0.91,1.22,0.43,0.0,0.0,0.0,3.98,0.24,0.43,35.3,Inverted Winger
2023-2024,Nathan Zeze,DF,Nantes,fr Ligue 1,fr FRA,18,13,11,"1,022",11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.03,0.03,0.0,0.01,0.0,0.03,0.18,0.26,0.0,0.0,0.0,0.0,16.9,0.0,0.11,-0.03,42.2,41.3,0.88,0.7,0.0,0.35,0.0,35.7,84.6,683.9,250.4,11.7,13.3,87.5,20.5,22.4,91.8,03.07,5.7,53.8,0.0,1.93,0.09,0.0,2.63,0.18,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.53,0.79,0.18,0.0,1.23,50.0,01.05,0.26,0.79,01.05,4.12,0.09,50.9,26.1,23.9,0.79,0.26,0.0,0.0,0.0,35.0,186.5,0.09,106.9,0.18,0.0,0.35,0.0,32.4,0.18,0.7,0.61,0.0,0.0,0.0,0.0,3.16,1.49,01.05,58.6,No-Nonsense Centre-Back
2023-2024,Michael Zetterer,GK,Werder Bremen,de Bundesliga,de GER,28,27,27,"2,43",27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.01,0.0,0.04,0.0,0.0,0.0,0.0,9.5,0.0,0.1,-0.00,41.7,33.0,8.56,3.22,0.0,0.0,0.22,33.0,79.1,936.5,650.5,4.33,4.37,99.2,16.4,16.9,97.6,12.2,20.3,60.1,0.11,0.78,0.04,0.0,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.11,0.0,0.0,0.11,100.0,0.0,0.0,0.0,0.0,0.26,0.11,44.4,43.7,0.7,0.04,0.04,0.0,0.0,0.0,29.4,192.3,0.0,99.7,0.0,0.0,0.11,0.0,24.1,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.74,0.48,0.11,81.3,Sweeper Keeper
2023-2024,Cedric Zesiger,DF,Wolfsburg,de Bundesliga,ch SUI,25,23,18,"1,634",18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.07,0.07,0.0,0.02,0.0,0.08,0.16,0.88,0.11,12.5,0.0,0.0,20.3,0.0,0.08,-0.07,61.4,56.7,4.67,2.36,0.0,0.99,0.05,51.8,84.3,950.5,360.1,19.3,20.9,92.4,28.0,30.7,91.1,04.07,7.8,52.1,0.05,3.9,0.22,0.11,4.45,0.27,0.27,0.0,0.0,0.0,0.0,0.77,0.6,0.05,0.0,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,01.04,0.49,0.71,0.22,0.11,1.21,45.5,1.76,1.15,0.6,0.82,4.84,0.05,72.2,34.6,34.8,3.19,0.55,0.22,75.0,0.0,40.1,201.4,0.77,112.4,0.49,0.0,0.22,0.33,47.1,0.16,1.32,0.55,0.0,0.0,0.05,0.0,3.63,2.14,0.88,70.9,
2023-2024,Kevin Zeroli,MF,Milan,it Serie A,it ITA,18,3,0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,20.0,20.0,0.0,0.0,0.0,3.33,0.0,6.67,33.3,173.3,76.7,0.0,3.33,0.0,3.33,10.0,33.3,3.33,3.33,100.0,0.0,3.33,0.0,0.0,3.33,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,3.33,0.0,33.3,13.3,13.3,6.67,0.0,0.0,0.0,0.0,16.7,86.7,0.0,60.0,0.0,0.0,0.0,3.33,16.7,6.67,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,50.0,Central Midfielder
