Season,Player,Pos,Squad,Comp,Nation,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Second Yellow Card,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,npxG + xAG,PrgR,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Non-Penalty Goals - npxG,Pass Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Passes Blocked,Passes Offside,Passes Completed,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,% of Dribblers Tackled,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Clearences,Errors,Touches,Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Take-Ons Attempted,Successful Take-On %,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carries,Progressive Carrying Distance, Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Best Role
2022-2023,Nadir Zortea,DF,Sassuolo,it Serie A,it ITA,23,10,7,657,7.3,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.55,0.0,0.0,0.03,0.03,0.1,0.07,0.04,0.11,3.42,0.68,0.27,40.0,0.0,0.0,23.8,0.0,0.04,-0.03,56.2,46.3,9.73,1.23,0.0,1.64,0.14,42.5,75.6,672.9,271.4,22.5,24.8,90.6,16.6,21.1,78.6,2.6,7.4,35.2,0.96,3.15,1.23,0.55,5.21,0.14,4.52,0.27,0.14,0.14,0.0,1.92,1.64,0.14,0.14,0.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,2.05,1.1,1.64,0.27,0.14,1.92,64.3,1.37,0.55,0.82,0.55,2.88,0.0,69.3,21.9,31.5,16.2,1.1,2.74,30.0,45.0,37.8,221.5,3.29,127.9,2.6,0.41,1.64,0.68,41.4,3.42,1.51,0.82,0.0,0.0,0.0,0.0,4.79,0.82,1.1,42.9,Full-Back
2022-2023,Nadir Zortea,"DF,MF",Atalanta,it Serie A,it ITA,23,9,1,222,2.5,0.4,0.0,0.4,0.4,0.41,0.0,0.0,0.4,0.0,0.0,0.04,0.04,0.24,0.08,-0.24,0.28,5.2,1.6,1.2,75.0,0.25,0.33,20.4,0.0,0.03,0.36,39.2,33.2,6.0,0.0,0.4,2.4,0.0,24.0,61.2,374.8,240.8,12.4,15.2,81.6,8.8,14.0,62.9,2.0,5.2,38.5,1.2,1.2,1.2,0.4,3.6,0.0,4.0,0.0,0.0,0.0,0.0,3.2,2.0,0.0,0.8,0.4,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.2,2.8,0.0,1.6,75.0,1.6,0.0,1.6,0.0,1.6,0.0,61.2,18.0,20.0,24.0,2.8,8.4,47.6,47.6,31.2,192.0,4.4,106.8,2.8,0.8,2.4,0.8,32.8,5.2,1.6,0.0,0.0,0.0,0.0,0.0,5.6,2.0,0.4,83.3,Full-Back
2022-2023,Simon Zoller,FW,Bochum,de Bundesliga,de GER,31,27,19,"1,457",16.2,0.19,0.12,0.31,0.19,0.31,0.0,0.0,0.31,0.0,0.0,0.25,0.25,0.07,0.03,0.06,0.32,3.77,1.85,0.56,30.0,0.1,0.33,12.6,0.0,0.14,-0.07,20.5,19.0,1.42,0.0,0.12,0.99,0.06,12.8,62.7,197.7,44.8,7.28,10.6,69.0,4.44,7.1,62.6,0.8,1.17,68.4,0.56,0.99,0.25,0.0,1.3,0.12,0.99,0.0,0.0,0.0,0.0,1.23,0.99,0.06,0.06,0.06,0.06,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.68,0.25,0.12,0.49,0.06,0.74,33.3,0.86,0.06,0.8,0.37,1.3,0.0,28.4,3.89,13.5,11.2,3.4,0.43,28.6,28.6,12.4,43.6,0.62,14.7,0.06,0.37,1.17,0.37,16.5,3.77,1.3,0.49,0.43,0.0,0.06,0.0,3.52,0.93,1.23,42.9,Inverted Winger
2022-2023,Jeroen Zoet,GK,Spezia,it Serie A,nl NED,31,5,4,334,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,35.9,28.01,7.84,1.62,0.0,0.0,0.0,20.3,56.4,625.9,539.5,4.86,4.86,100.0,8.11,8.65,93.8,7.03,22.2,31.7,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.0,0.0,0.27,100.0,0.0,0.0,0.0,0.0,0.27,0.0,38.1,37.8,0.27,0.0,0.0,0.27,100.0,0.0,22.7,144.3,0.0,74.9,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,Sweeper Keeper
2022-2023,Hakim Ziyech,"FW,MF",Chelsea,eng Premier League,ma MAR,29,18,6,661,7.3,0.0,0.41,0.41,0.0,0.41,0.0,0.0,0.14,0.0,0.0,0.08,0.08,0.3,0.21,0.11,0.38,9.45,2.19,0.41,18.8,0.0,0.0,22.7,0.0,0.04,-0.08,54.8,47.8,6.44,1.64,0.55,2.05,0.55,35.3,64.5,578.4,215.1,20.3,23.2,87.6,11.2,18.2,61.7,3.29,9.04,36.4,1.92,2.74,2.6,0.96,5.75,0.41,9.4,2.74,1.64,0.55,0.14,4.38,3.42,0.55,0.14,0.0,0.14,0.14,0.41,0.27,0.14,0.0,0.0,0.0,0.0,2.74,1.64,1.64,0.68,0.41,1.23,44.4,1.1,0.0,1.1,0.68,0.68,0.14,69.2,10.1,25.2,34.4,2.33,4.52,42.4,45.5,41.5,206.2,2.74,90.0,2.33,0.96,1.64,1.78,48.5,9.45,1.64,1.92,0.41,0.0,0.0,0.0,6.3,0.0,0.68,0.0,Inverted Winger
2022-2023,Joshua Zirkzee,FW,Bologna,it Serie A,nl NED,21,19,5,822,9.1,0.22,0.22,0.44,0.22,0.44,0.0,0.0,0.11,0.0,0.0,0.34,0.34,0.15,0.05,0.07,0.49,8.13,3.19,0.88,27.6,0.07,0.25,16.3,0.0,0.11,-0.12,28.2,26.02,1.87,0.0,0.22,0.99,0.22,21.8,77.0,277.6,47.7,14.7,17.1,85.9,5.16,6.7,77.0,0.66,0.99,66.7,1.76,1.32,0.66,0.0,1.87,0.0,0.11,0.0,0.0,0.0,0.0,3.96,2.53,0.0,0.77,0.44,0.11,0.11,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.44,0.22,0.11,0.11,0.22,0.77,28.6,0.44,0.11,0.33,0.44,0.44,0.0,41.6,2.31,19.5,20.3,3.63,4.7,43.2,51.4,25.9,129.5,1.1,44.7,1.76,0.55,3.96,2.75,34.0,8.13,0.88,0.99,0.22,0.0,0.0,0.0,2.9,1.32,2.75,32.4,Deep Lying Forward
2022-2023,Oleksandr Zinchenko,DF,Arsenal,eng Premier League,ua UKR,25,27,26,"2,118",23.5,0.04,0.09,0.13,0.04,0.13,0.0,0.0,0.13,0.0,0.0,0.06,0.06,0.06,0.1,0.03,0.12,2.89,1.19,0.3,25.0,0.04,0.14,22.7,0.0,0.05,-0.02,81.3,72.5,8.64,2.09,0.26,1.23,0.21,70.3,86.4,1149.9,336.1,34.4,37.3,92.2,29.6,34.0,87.2,4.47,6.3,70.9,0.81,8.55,1.74,0.17,9.66,0.51,1.57,0.04,0.0,0.0,0.0,2.38,2.09,0.04,0.0,0.17,0.04,0.04,0.17,0.13,0.0,0.0,0.04,0.0,0.0,1.7,0.77,0.6,0.72,0.38,1.7,52.5,0.85,0.09,0.77,0.94,1.62,0.09,89.9,19.7,45.0,26.0,1.4,1.06,60.0,36.0,53.7,293.6,2.85,161.1,2.81,0.34,0.68,0.64,59.5,2.89,0.26,0.47,0.04,0.0,0.0,0.0,6.94,2.17,0.85,71.8,Complete Wing-Back
2022-2023,David Zima,DF,Torino,it Serie A,cz CZE,21,9,4,406,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.02,0.0,-0.02,0.2,1.11,0.89,0.44,50.0,0.0,0.0,12.0,0.0,0.2,-0.18,43.8,43.1,0.67,0.67,0.0,0.67,0.0,34.2,78.2,601.8,165.1,13.3,17.1,77.9,16.2,19.1,84.9,2.67,4.44,60.0,0.44,1.33,0.67,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.11,1.11,0.89,0.0,0.89,75.0,1.56,0.44,1.11,2.0,2.44,0.44,54.4,25.3,26.9,2.67,1.11,0.22,100.0,0.0,24.7,120.2,0.67,62.0,0.44,0.0,0.22,0.44,28.7,1.11,0.89,0.44,0.0,0.0,0.0,0.0,5.33,3.33,2.0,62.5,Ball Playing Defender
2022-2023,Piotr Zieliński,MF,Napoli,it Serie A,pl POL,28,37,27,"2,287",25.4,0.12,0.31,0.43,0.12,0.43,0.0,0.0,0.12,0.0,0.0,0.14,0.14,0.29,0.3,0.02,0.43,5.08,2.09,0.75,35.8,0.06,0.16,22.4,0.24,0.07,-0.02,61.1,54.4,6.57,1.61,0.08,0.98,0.16,51.2,83.8,734.3,217.9,30.2,32.8,92.1,14.1,16.7,84.9,3.74,6.61,56.5,3.31,4.8,1.77,0.28,5.04,0.24,4.41,3.62,1.18,1.42,0.04,5.31,3.35,1.46,0.16,0.12,0.24,0.0,0.47,0.31,0.12,0.0,0.04,0.0,0.0,0.67,0.39,0.04,0.43,0.2,0.98,48.0,0.63,0.2,0.43,0.55,0.28,0.0,69.1,7.2,32.4,30.1,2.13,2.28,37.9,50.0,42.8,211.5,2.44,97.8,2.95,0.35,1.06,0.59,53.6,5.08,0.83,1.38,0.08,0.0,0.0,0.0,4.2,0.16,0.51,23.5,Goalkeeper
2022-2023,Edon Zhegrova,"FW,MF",Lille,fr Ligue 1,xk KVX,23,22,11,"1,056",11.7,0.26,0.34,0.6,0.26,0.6,0.0,0.0,0.09,0.0,0.0,0.31,0.31,0.39,0.45,-0.05,0.7,16.6,3.59,1.2,33.3,0.07,0.21,18.4,0.09,0.09,-0.05,51.6,45.6,5.81,0.94,0.17,2.05,0.17,39.7,76.8,590.5,194.3,22.9,26.9,85.1,12.6,16.1,78.2,2.82,5.21,54.1,2.56,1.97,2.82,0.68,4.44,0.26,6.24,3.16,0.94,0.94,0.0,6.67,3.59,1.28,0.68,0.6,0.34,0.17,0.94,0.51,0.17,0.0,0.17,0.09,0.0,1.54,1.03,0.51,0.6,0.43,1.71,60.0,0.77,0.0,0.77,0.17,0.17,0.0,67.4,3.59,19.1,45.6,6.75,9.49,47.7,48.6,53.8,399.4,6.32,200.6,4.53,2.99,2.82,1.45,50.1,16.6,0.94,1.28,0.17,0.09,0.0,0.0,4.96,0.0,0.51,0.0,Inverted Winger
2022-2023,Nathan Zeze,DF,Nantes,fr Ligue 1,fr FRA,17,1,1,59,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,37.1,35.7,1.43,1.43,0.0,0.0,0.0,25.7,69.2,464.3,148.6,5.71,7.14,80.0,17.1,24.3,70.6,1.43,2.86,50.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,2.86,2.86,1.43,0.0,1.43,100.0,0.0,0.0,0.0,0.0,1.43,0.0,42.9,21.4,21.4,0.0,0.0,0.0,0.0,0.0,28.6,147.1,0.0,70.0,0.0,0.0,0.0,0.0,25.7,0.0,0.0,1.43,0.0,0.0,0.0,0.0,2.86,1.43,1.43,50.0,No-Nonsense Centre-Back
2022-2023,Michael Zetterer,GK,Werder Bremen,de Bundesliga,de GER,27,2,1,152,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,35.9,27.01,8.82,1.76,0.0,0.0,0.0,25.3,70.5,895.9,709.4,1.18,1.18,100.0,10.6,10.6,100.0,13.5,24.1,56.1,0.0,1.18,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,38.8,38.8,0.0,0.0,0.0,0.0,0.0,0.0,21.8,151.2,0.0,91.2,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.0,100.0,Sweeper Keeper
2022-2023,Alessio Zerbin,FW,Napoli,it Serie A,it ITA,23,10,2,198,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.14,0.14,0.0,0.05,0.0,0.14,9.09,2.27,1.36,60.0,0.0,0.0,19.1,0.0,0.05,-0.14,35.5,34.5,0.0,0.0,0.0,0.91,0.91,25.5,71.8,327.7,60.0,14.1,17.7,79.5,7.27,10.9,66.7,1.36,1.82,75.0,0.0,1.36,0.45,0.0,2.73,0.0,0.45,0.0,0.0,0.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,2.27,1.82,2.27,0.45,3.64,50.0,0.91,0.0,0.91,0.91,0.91,0.0,52.3,7.27,28.6,16.4,4.09,2.27,40.0,60.0,32.3,146.4,2.27,56.4,0.0,1.36,2.27,2.27,38.2,9.09,4.9,2.73,0.45,0.0,0.0,0.0,3.64,0.0,0.45,0.0,Inverted Winger
